Country,SMR (United States of America),ISO3,Year,OVERALL SCORE
Afghanistan,8.984623048,AFG,2021,28.8
Albania,2.215701032,ALB,2021,45
Algeria,1.020912172,DZA,2021,26.2
Andorra,1.516334532,AND,2021,34.7
Angola,3.1959207,AGO,2021,29.1
Antigua & Barbuda,0.241753778,ATG,2021,30
Argentina,1.455827676,ARG,2021,54.4
Armenia,3.17026158,ARM,2021,61.8
Australia,-0.244256695,AUS,2021,71.1
Austria,0.579022952,AUT,2021,56.9
Azerbaijan,3.642744076,AZE,2021,34.7
Bahamas,1.535968838,BHS,2021,30.1
Bahrain,2.770646636,BHR,2021,36.3
Bangladesh,2.16819406,BGD,2021,35.5
Barbados,0.757763649,BRB,2021,34.9
Belarus,3.010407115,BLR,2021,43.9
Belgium,0.803392,BEL,2021,59.3
Belize,2.366894064,BLZ,2021,29.7
Benin,0.962100069,BEN,2021,25.4
Bhutan,0.113988529,BTN,2021,39.8
Bolivia,13.26291331,BOL,2021,29.9
Bosnia and Hercegovina,2.06744811,BIH,2021,35.4
Botswana,8.137646458,BWA,2021,33.6
Brazil,2.161469723,BRA,2021,51.2
Brunei,0.241946614,BRN,2021,43.5
Bulgaria,3.179115443,BGR,2021,59.9
Burkina Faso,1.726243565,BFA,2021,29.8
Burundi,0.646294752,BDI,2021,22.1
Cabo Verde,0.893405039,CPV,2021,34.1
Cambodia,0.95821875,KHM,2021,31.1
Cameroon,2.458450625,CMR,2021,28.6
Canada,0.363222373,CAN,2021,69.8
Central African Republic,4.981225555,CAF,2021,18.6
Chad,1.803734377,TCD,2021,23.9
Chile,0.826954044,CHL,2021,56.2
China,0.005635061,CHN,2021,47.5
Colombia,2.197320008,COL,2021,53.2
Comoros,2.120580646,COM,2021,24.9
Congo (Brazzaville),3.115854181,COG,2021,26.3
Congo (Democratic Republic),1.688666574,COD,2021,26.1
Costa Rica,0.640257941,CRI,2021,40.8
Croatia,1.507330735,HRV,2021,48.8
Cuba,0.817250803,CUB,2021,30.5
Cyprus,0.257376404,CYP,2021,41.9
Czech Republic,1.418404953,CZE,2021,52.8
Côte d'Ivoire,2.115047087,CIV,2021,31.2
Denmark,0.528462798,DNK,2021,64.4
Djibouti,3.764670085,DJI,2021,25.2
Dominica,1.159736013,DMA,2021,26.4
Dominican Republic,1.336450649,DOM,2021,34.5
Ecuador,4.370706201,ECU,2021,50.8
Egypt,2.517158721,EGY,2021,28
El Salvador,2.760995578,SLV,2021,40.8
Equatorial Guinea,2.323897744,GNQ,2021,17.4
Eritrea,2.551570624,ERI,2021,21.4
Estonia,1.184524119,EST,2021,55.5
Ethiopia,2.645431155,ETH,2021,37.8
Fiji,1.413791259,FJI,2021,25.8
Finland,0.425668365,FIN,2021,70.9
France,0.630690429,FRA,2021,61.9
Gabon,2.027783448,GAB,2021,21.8
Gambia,4.058347277,GMB,2021,28.7
Georgia,1.630354748,GEO,2021,52.6
Germany,0.605046552,DEU,2021,65.5
Ghana,1.447243123,GHA,2021,34.3
Greece,0.604754284,GRC,2021,51.5
Grenada,1.074439632,GRD,2021,26.7
Guatemala,2.926396984,GTM,2021,29.1
Guinea,2.864072959,GIN,2021,26.8
Guinea-Bissau,3.415893335,GNB,2021,21.4
Guyana,2.720137926,GUY,2021,30.8
Haiti,2.712475278,HTI,2021,30.4
Honduras,6.270513086,HND,2021,26.2
Hungary,1.645153025,HUN,2021,54.4
Iceland,-0.3261924,ISL,2021,48.5
India,2.234576498,IND,2021,42.8
Indonesia,1.982935376,IDN,2021,50.4
Iran,2.269992472,IRN,2021,36.5
Iraq,5.839090264,IRQ,2021,24
Ireland,0.091240274,IRL,2021,55.3
Israel,0.498732254,ISR,2021,47.2
Italy,1.009761812,ITA,2021,51.9
Jamaica,1.598984842,JAM,2021,31.8
Japan,0.166354138,JPN,2021,60.5
Jordan,2.906230122,JOR,2021,42.8
Kazakhstan,1.747682295,KAZ,2021,46.1
Kenya,4.727016225,KEN,2021,38.8
Kuwait,0.684032708,KWT,2021,36.8
Kyrgyz Republic,3.640073435,KGZ,2021,42.4
Laos,0.67873515,LAO,2021,34.8
Latvia,1.714412128,LVA,2021,61.9
Lebanon,3.643657093,LBN,2021,33.4
Lesotho,8.769542224,LSO,2021,30.9
Liberia,2.194144449,LBR,2021,35.7
Libya,5.012444147,LBY,2021,25.3
Lithuania,1.866926152,LTU,2021,59.5
Luxembourg,0.608471916,LUX,2021,48.4
Madagascar,3.250581485,MDG,2021,30.4
Malawi,4.404665737,MWI,2021,28.5
Malaysia,1.064899007,MYS,2021,56.4
Maldives,0.524478899,MDV,2021,32
Mali,2.942758009,MLI,2021,29
Malta,0.452446192,MLT,2021,40.2
Mauritania,2.464082829,MRT,2021,26.2
Mauritius,0.238584325,MUS,2021,39.7
Mexico,3.943759371,MEX,2021,57
Moldova,2.338196654,MDA,2021,41
Monaco,0.186585103,MCO,2021,33.3
Mongolia,1.627393448,MNG,2021,41
Montenegro,2.35109559,MNE,2021,44.1
